,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Jonathon Thompson,38,3,8,1,2,2,6,10,10,0,4,4,2,1,2,5,0,18
1,2013-03-23,Anthony Myles,32,3,13,1,6,2,7,2,2,2,4,6,1,1,0,2,3,10
2,2013-03-23,Nurideen Lindsey,25,3,9,2,7,1,2,0,0,1,2,3,2,4,0,4,1,7
3,2013-03-23,Danny Stewart,22,2,6,2,6,0,0,0,3,0,1,1,0,0,1,2,4,4
4,2013-03-23,Junior Fortunat,18,2,5,2,5,0,0,0,0,4,1,5,0,0,0,1,4,4
5,2013-03-23,Zedric Sadler,18,1,8,0,3,1,5,2,2,3,1,4,3,0,0,3,1,5
6,2013-03-23,Derrick Stewart,15,0,1,0,1,0,0,0,0,2,4,6,0,0,1,1,4,0
7,2013-03-23,Shawn Valentine,13,0,1,0,0,0,1,1,2,1,0,1,2,2,0,0,2,1
8,2013-03-23,Khalil Alford,10,0,5,0,3,0,2,0,0,1,0,1,1,0,0,0,1,0
9,2013-03-23,Tommy Pereira,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3
10,2013-03-23,Emerson Bursis,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2
11,2013-03-23,Jamal Nwaniemeka,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
